N,RunID,GFLOPS
128,1,68.988965
128,2,81.445306
128,3,67.145748
128,4,79.602652
128,5,70.088391
128,6,77.158711
128,7,78.187494
128,8,72.395827
128,9,79.244081
128,10,78.888727
128,11,79.602652
128,12,80.698101
128,13,78.187494
128,14,80.329617
128,15,66.637068
128,16,81.824121
128,17,82.206477
128,18,79.964482
128,19,81.445306
128,20,78.536545
128,21,81.824121
128,22,79.602652
128,23,80.698101
128,24,77.841531
128,25,74.860366
128,26,82.982010
128,27,82.206477
128,28,80.698101
128,29,81.069982
128,30,76.487765
128,31,110.642680
128,32,82.982010
128,33,82.206477
128,34,81.445306
128,35,81.445306
128,36,81.445306
128,37,81.824121
128,38,77.841531
128,39,81.824121
128,40,78.187494
128,41,81.069982
128,42,79.244081
128,43,81.069982
128,44,75.502944
128,45,74.543161
128,46,110.642680
128,47,82.206477
128,48,79.602652
128,49,80.698101
128,50,79.602652
128,51,79.964482
128,52,77.158711
128,53,81.445306
128,54,82.206477
128,55,68.452086
128,56,75.502944
128,57,70.368744
128,58,76.821773
128,59,68.452086
128,60,75.502944
128,61,81.824121
128,62,78.536545
128,63,81.069982
128,64,79.244081
128,65,81.069982
128,66,81.824121
128,67,78.888727
128,68,78.536545
128,69,81.824121
128,70,81.069982
128,71,81.069982
128,72,78.888727
128,73,79.964482
128,74,80.329617
128,75,76.487765
128,76,72.694984
128,77,82.592423
128,78,72.996623
128,79,77.498617
128,80,75.828388
128,81,70.368744
128,82,77.841531
128,83,77.841531
128,84,77.841531
128,85,76.487765
128,86,81.445306
128,87,78.888727
128,88,71.512951
128,89,76.156650
128,90,81.069982
128,91,76.487765
128,92,77.841531
128,93,81.824121
128,94,81.824121
128,95,78.187494
128,96,82.592423
128,97,81.069982
128,98,75.180282
128,99,80.329617
128,100,81.824121
128,101,73.916748
128,102,82.206477
128,103,80.698101
128,104,78.888727
128,105,74.543161
128,106,79.244081
128,107,79.244081
128,108,77.498617
128,109,73.300775
128,110,77.498617
128,111,59.232950
128,112,58.640620
128,113,70.368744
128,114,62.383638
128,115,79.244081
128,116,76.156650
128,117,68.452086
128,118,67.662254
128,119,81.445306
128,120,67.662254
128,121,68.988965
128,122,76.156650
128,123,79.964482
128,124,77.158711
128,125,82.206477
128,126,74.228633
128,127,77.841531
128,128,66.136038
128,129,68.719477
128,130,81.069982
128,131,71.804841
128,132,69.534332
128,133,81.445306
128,134,79.964482
128,135,77.158711
128,136,81.445306
128,137,75.502944
128,138,79.244081
128,139,78.888727
128,140,72.694984
128,141,79.964482
128,142,76.487765
128,143,81.445306
128,144,72.996623
128,145,78.187494
128,146,77.841531
128,147,76.821773
128,148,70.651350
128,149,82.592423
128,150,76.487765
128,151,82.592423
128,152,81.445306
128,153,74.228633
128,154,72.996623
